Mark Flekken,1268,1584,74,0,0,1658,4,3,1,930,5167,2908,0,0,0,0,810
Phil Foden,22,174,785,1211,190,2146,102,47,46,1435,6921,3434,79,56,62,49,1753
Wes Foderingham,943,1136,20,0,0,1154,2,2,0,574,3483,2223,0,0,1,1,388
Pablo Fornals,7,53,128,98,20,277,12,6,5,156,645,256,7,2,8,8,176
Omari Forson,0,2,25,12,1,39,2,1,1,29,115,34,3,0,1,0,31
Lyle Foster,41,93,289,321,93,692,39,19,18,380,2464,1278,31,36,69,33,479
Matheus Fran?a,3,31,45,51,9,119,14,4,9,81,722,372,11,5,4,7,73
Nathan Fraser,4,10,28,25,5,62,0,0,0,32,88,22,1,1,4,2,39
Cody Gakpo,15,77,335,412,107,809,54,31,17,549,3003,1472,31,13,44,32,618
Conor Gallagher,77,468,1221,793,79,2443,65,38,18,1453,7243,2979,54,14,69,39,1739
Idrissa Gana Gueye,59,280,608,252,21,1126,25,11,11,592,2976,1431,26,2,17,20,670
Alejandro Garnacho,13,180,403,741,248,1312,131,48,63,938,8015,4211,83,102,69,49,1006
James Garner,83,307,776,549,41,1610,41,19,16,736,3856,1657,37,5,33,10,857
Saman Ghoddos,12,139,223,184,10,542,13,3,8,282,1389,717,12,2,10,4,313
Morgan Gibbs-White,28,217,893,801,103,1875,115,44,55,1033,5636,2889,62,15,78,44,1234
Bryan Gil,3,25,66,101,18,191,11,8,3,137,746,340,6,5,9,7,155
Alfie Gilchrist,14,72,57,49,5,177,1,1,0,78,263,130,1,0,2,2,96
Billy Gilmour,67,447,1425,417,12,2277,23,8,13,1410,6287,3120,53,0,28,9,1871
Ben Godfrey,67,221,265,172,19,655,14,5,9,233,1158,571,12,0,10,6,283
Andr? Gomes,10,57,179,121,11,352,12,3,8,183,868,333,7,3,8,6,232
Jo?o Gomes,66,433,859,352,35,1626,55,26,23,804,3929,1772,22,6,42,44,1010
Toti Gomes,188,1020,927,169,22,2109,31,23,5,1113,4427,2325,16,2,17,6,1394
Joe Gomez,85,371,832,375,28,1564,32,15,12,891,4686,2313,34,3,25,11,979
Sergio G?mez,0,10,19,30,3,59,2,2,0,38,231,112,0,1,0,0,48
Enso Gonzalez,0,0,4,3,0,7,0,0,0,4,35,3,1,0,1,0,7
Anthony Gordon,15,158,555,733,147,1423,133,54,56,955,7622,3668,73,59,70,40,1026
Kaide Gordon,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0
Daniel Gore,0,0,1,1,0,2,0,0,0,2,6,2,0,0,0,0,1
Ryan Gravenberch,17,84,347,272,42,696,50,23,22,432,2458,1369,28,10,46,13,472
Ivo Grbi?,280,317,7,0,0,324,0,0,0,152,1049,772,0,0,0,0,92
Jack Grealish,7,53,206,443,82,697,41,18,11,522,4025,2080,46,50,19,22,578
Pascal Gro?,133,826,1681,1050,70,3533,30,16,13,2284,10055,5189,69,8,35,28,2736
Marc Gu?hi,196,761,678,67,12,1501,13,7,4,898,4190,2201,9,1,9,2,1011
Bruno Guimar?es,90,573,1482,722,75,2734,132,72,41,1842,10297,4241,73,19,61,70,2107
Malo Gusto,71,470,698,499,49,1641,42,17,20,972,5376,2791,41,16,32,12,1103
Jo?ko Gvardiol,67,452,1124,622,60,2179,45,26,14,1285,6099,3249,49,15,23,14,1529
Erling Haaland,15,36,206,398,183,628,30,12,16,357,1628,728,13,22,41,19,489
Antwoine Hackford,0,0,2,2,0,4,1,0,1,3,11,2,1,0,1,0,3
Lewis Hall,35,255,285,137,12,668,18,9,7,343,1783,1035,16,5,9,13,400
Gustavo Hamer,63,285,648,485,44,1402,58,28,28,621,3307,1568,26,13,37,17,760
Luke Harris,1,8,6,5,1,19,2,0,2,9,39,6,1,0,0,0,11
Jack Harrison,36,167,338,445,59,935,75,29,39,539,3250,1546,31,14,68,41,580
Daiki Hashioka,51,165,137,55,2,355,2,1,1,184,799,303,3,0,8,6,206
Kai Havertz,29,143,541,611,184,1281,42,16,19,686,3077,1532,36,23,54,35,918
Jan Paul van Hecke,324,1209,1311,157,20,2668,9,5,2,1918,10198,6274,41,2,16,3,2080
Hwang Hee-chan,13,100,345,344,103,776,69,36,30,478,2586,999,21,24,55,31,564
Dean Henderson,478,536,0,0,0,536,0,0,0,284,1668,734,0,0,1,0,233
Rico Henry,14,78,93,59,7,227,10,7,1,115,698,372,3,3,8,7,126
Son Heung-min,8,87,458,823,212,1352,92,39,47,927,5688,2989,44,64,55,41,1100
Aaron Hickey,25,132,155,76,7,356,14,5,5,212,1107,505,3,1,14,5,225
James Hill,10,26,24,12,0,62,1,0,1,18,41,7,1,0,1,1,20
Jack Hinshelwood,26,193,256,143,30,590,5,0,4,331,1598,726,15,1,9,2,381
Mason Holgate,53,143,119,35,3,296,2,1,1,95,356,159,2,1,4,1,105
Callum Hudson-Odoi,19,129,297,523,77,930,80,43,27,646,5044,3054,57,39,34,33,701
Will Hughes,45,228,657,219,15,1094,15,9,3,463,1931,900,14,0,22,27,609
Pierre H?jbjerg,63,377,913,310,16,1585,23,12,10,1012,4237,1820,25,2,20,9,1230
Rasmus H?jlund,20,61,262,297,96,612,38,18,18,356,2100,1101,26,15,50,29,429
Igor,105,604,913,141,7,1651,22,16,5,1055,5334,2867,23,0,9,6,1205
Danny Ings,8,20,68,79,24,165,13,6,6,94,381,129,2,3,9,4,107
Tim Iroegbunam,5,27,46,8,0,79,7,3,2,41,222,115,0,0,2,3,38
Alexander Isak,19,46,299,387,139,720,74,42,28,421,3052,1613,31,38,49,23,511
Alex Iwobi,0,5,17,38,3,58,4,3,1,33,316,221,5,2,3,1,34
Alex Iwobi1,19,190,585,537,81,1282,72,37,32,866,5856,2979,80,27,50,28,1004
Nicolas Jackson,28,94,450,480,151,998,105,54,36,616,4579,2122,44,32,87,66,752
Reece James,26,118,153,124,20,391,15,9,4,217,1061,548,8,3,6,6,245
Vitaly Janelt,115,513,772,437,72,1703,18,8,7,893,3559,1558,25,3,27,10,1053
Daniel Jebbison,0,0,5,4,2,9,0,0,0,5,6,1,0,0,1,0,4
Mathias Jensen,48,288,689,475,21,1440,44,18,23,641,2961,1265,17,3,31,18,768
Gabriel Jesus,16,75,247,472,139,782,75,35,30,489,2654,1146,21,25,61,38,567
Ra?l Jim?nez,22,58,269,240,67,567,24,10,12,317,1407,453,14,5,44,32,442
Jo?o Pedro,32,105,475,629,184,1191,107,43,45,787,5003,2295,42,47,83,63,949
Joelinton,37,152,410,253,38,808,35,17,11,435,2141,1061,24,6,22,28,583
Ryan John Giles,20,81,74,119,4,273,8,4,3,116,517,241,5,2,7,1,129
Ben Johnson,21,139,169,119,4,417,25,11,12,232,1479,633,11,1,6,10,243
Brennan Johnson,14,94,316,578,154,977,71,25,39,637,3904,2060,35,48,35,19,748
Brennan Johnson1,2,15,38,34,9,85,7,2,3,50,372,205,4,3,4,2,52
Joseph Johnson,4,18,16,2,0,36,0,0,0,18,75,9,0,0,0,1,26
Sam Johnstone,539,637,3,0,0,640,0,0,0,350,2039,1281,0,0,0,0,287
Curtis Jones,24,127,509,287,38,915,29,15,10,624,3297,1425,25,7,15,33,709
Jorginho,25,154,479,239,5,871,5,2,3,521,1941,945,11,0,5,4,671
Diogo Jota,8,53,240,311,107,594,41,15,21,350,2104,1239,29,23,42,18,427
Mads Juel Andersen,56,118,57,7,4,182,1,0,1,58,301,112,0,0,6,0,64
Hamed Junior Traor?,1,13,14,15,2,41,8,4,4,22,153,80,1,1,2,1,28
Mathias J?rgensen,74,287,350,70,24,704,4,3,0,275,1222,758,4,0,4,1,372
Issa Kabor?,79,329,386,283,18,985,42,18,18,455,3134,1558,33,10,25,8,449
Sasa Kalajdzic,5,20,44,24,7,88,1,1,0,46,143,48,1,0,2,5,68
Boubacar Kamara,50,305,720,186,13,1195,30,14,12,769,3527,1663,22,1,19,13,880
Willy Kambwala,27,142,88,2,0,232,2,0,2,124,689,377,1,0,3,1,149
Thomas Kaminski,1129,1553,30,1,0,1580,2,2,0,805,4663,2432,0,0,1,0,657
Loris Karius,34,41,0,0,0,41,0,0,0,17,57,25,0,0,0,0,15
Michael Keane,35,122,126,24,11,270,3,2,1,154,595,296,2,0,2,3,170
Thilo Kehrer,2,2,8,2,0,12,0,0,0,3,15,5,0,0,0,0,6
Caoimh?n Kelleher,269,446,11,0,0,457,0,0,0,367,1742,1077,0,0,0,0,330
Lloyd Kelly,127,432,484,156,11,1065,4,2,0,540,2680,1451,10,2,20,6,572
Omari Kellyman,0,1,8,2,0,11,0,0,0,4,33,9,1,0,2,0,6
Milos Kerkez,81,371,386,352,31,1095,27,12,12,518,3192,1617,28,8,29,10,538
Kaine Kesler-Hayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Kilman,451,1478,1110,133,30,2706,16,10,3,1582,7276,4107,17,1,8,10,1877
Jakub Kiwior,25,189,367,167,15,716,3,2,1,362,1264,681,8,1,8,2,462
