,0,1,2018,2019,2020,2021,2022,2023
121,Callum Hudson-Odoi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/392768,,35,31.5,32,25,
122,Ethan Ampadu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/392771,,10,,15,,
122,Trevoh Chalobah,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/346314,,,,,20,18
124,Fikayo Tomori,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/303254,,,16,,,
125,Granit Xhaka,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111455,40,45,24,22,20,20
126,H??ctor Beller??n,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/191217,40,40,32,25,,
127,Petr é?ech,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/5658,3,,,,,
128,Nacho Monreal,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/43003,13,8,,,,
129,Alexandre Lacazette,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/93720,60,70,48,28,15,
130,Shkodran Mustafi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/88590,25,25,15,,,
131,Laurent Koscielny,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/76277,15,8,,,,
132,Sead Kolaè≠inac,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/94005,18,20,16,,,
133,Mesut ??zil,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/35664,45,25,12,,,
134,Alex Iwobi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/242631,15,25,25.5,22,18,28
135,Aaron Ramsey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/50057,45,40,,,,
136,Danny Welbeck,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/67063,15,12,5.5,4,4,7
137,Jack Wilshere,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/74223,20,10,4.8,,,
138,Pierre-Emerick Aubameyang,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/58864,70,56,25,,,4
139,Mohamed Elneny,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/160438,10,8,,10,11,6
140,Calum Chambers,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/215118,14,14,14.5,12,10,8
141,Rob Holding,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/253341,7,12,9.5,18,10,8
142,Ainsley Maitland-Niles,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/285845,7,12,14.5,16,10,8
143,David Ospina,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/73396,5,,,,,
144,Per Mertesacker,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/6710,1,,,,,
145,Konstantinos Mavropanos,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/415912,,3,,,,
146,Reiss Nelson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/340325,,,12.5,9,,12
147,Joe Willock,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/340329,,,16,16,22,38
148,Theo Walcott,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/33713,20,18,12,5,1.8,1
149,Eddie Nketiah,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/340324,,8,15,16,16,25
150,Jack Cork,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/40613,15,15,12,5,1.8,
151,Nick Pope,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/192080,10,10,12,15,15,20
152,J??hann Berg Gu?¯mundsson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/89231,10,10,8,3,2,1.2
153,James Tarkowski,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/173504,15,18,20,25,22,18
154,Ben Mee,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/74810,10,10,8,6,2.5,2
155,Jeff Hendrick,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/148262,10,10,9,9,,
156,Stephen Ward,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/34691,3,2,,,,
157,Matthew Lowton,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/102258,5,5,4,2.5,1.2,0.25
158,Steven Defour,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/33866,7,,,,,
159,Ashley Barnes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/63200,8,10,8,3.5,1.5,1
160,Chris Wood,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/108725,18,18,14.5,8,10,8
161,Kevin Long,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111114,2.5,2.5,1.6,1,1,
162,Scott Arfield,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/55291,3,,,,,
163,Robbie Brady,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/128229,10,8,4.8,3,1,
164,Phil Bardsley,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/15773,1.5,1.5,0.8,0.3,0.25,
165,Aaron Lennon,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/14221,5,5,2.4,,1,
166,Ashley Westwood,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/91317,4,7,5.5,5,2,
167,Charlie Taylor,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/195633,5,7,4,4,3,3.5
168,Sam Vokes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/48078,6,5,2.4,1.5,,
169,Tom Heaton,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/34130,4,3,4.8,1,0.8,0.5
170,Nahki Wells,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/173483,4.5,4,,,,
171,Jonathan Walters,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/3306,2,,,,,
172,Anders Lindegaard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/22491,0.5,,,,,
173,Dean Marney,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/4055,1,,,,,
174,Fredrik Ulvestad,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/158022,0.8,,,,,
175,Jordan Pickford,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/130164,35,40,28,25,20,25
176,Idrissa Gana Gueye,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/126665,20,25,,,,5
177,Michael Keane,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/118534,20,30,20,25,20,10
178,Wayne Rooney,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/3332,10,,,,,
179,Gylfi Sigur?¯sson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/90466,30,35,18,13,,
180,Morgan Schneiderlin,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/56818,20,15,9.5,,,
181,Phil Jagielka,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/13520,1.5,1,0.8,0.25,,
