,0,1,2018,2019,2020,2021,2022,2023
723,George Hirst,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/420808,,,0.45,,,0.8
724,Filip Benkovié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/293168,,,7,,,
725,Giovani Lo Celso,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/348795,,,40,27,22,
726,Tanguy Ndombele,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/450936,,,45,50,,
727,Steven Bergwijn,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/284165,,,28,22,18,
728,Japhet Tanganga,https://www.transfermarkt.com/xx-xx/profil/marktwertverlauf/346478,,,7.2,8,12,7
729,Gedson Fernandes,https://www.transfermarkt.com/xx-xx/profil/marktwertverlauf/337800,,,13.5,,,
730,Troy Parrott,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/552655,,,3.6,,5,4
731,Brandon Austin,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/428016,,,,,0.3,
732,Dennis Cirkin,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/568006,,,,,1.2,2.2
733,Harvey White,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/581598,,,,0.6,,
734,Pedro Neto,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/487465,,,15,35,32,28
735,Daniel Podence,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/256977,,,17,25,20,20
736,Bruno Jord?úo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/415646,,,2.3,,,
737,Luke Cundle,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/532541,,,,,0.8,
738,Owen Otasowie,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/511815,,,,1.5,,
739,Nicolas P??p??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/343052,,,45,35,25,
740,Dani Ceballos,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/319745,,,32,27,,
741,Kieran Tierney,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/300716,,,28,32,32,25
742,Gabriel Martinelli,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/655488,,,25,22,40,80
743,Pablo Mar??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/210178,,,4.8,7,5,
744,Tyreece John-Jules,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503768,,,,,0.8,
745,George Baldock,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/146690,,,6.5,5,4,3.5
746,Enda Stevens,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/85706,,,5.5,3.5,1.5,0.6
747,Chris Basham,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/52495,,,3,2,0.9,0.3
748,Oliver Norwood,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/73547,,,6.5,9,5,3
749,Dean Henderson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/258919,,,20,22,18,18
750,John Egan,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/121324,,,13,9,7,6
751,Jack O'Connell,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/212829,,,9.5,5,4,1.2
752,John Fleck,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/54383,,,8,5,3,1
753,John Lundstram,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/156941,,,8,7,,
754,David McGoldrick,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/35416,,,2,1.5,1,
755,Sander Berge,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/333014,,,20,18,16,20
756,Billy Sharp,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/49542,,,1.6,0.5,0.4,0.3
757,Callum Robinson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/183299,,,5.5,6,6,3.8
758,Ben Osborn,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/218087,,,2,2,2.5,1
759,Jack Robinson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/128909,,,2,2,1.5,0.7
760,Luke Freeman,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/66923,,,2.8,2,,0.6
761,Simon Moore,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/123536,,,0.4,0.4,,
762,Richairo è´ivkovié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/252755,,,0.65,,,
763,Leon Clarke,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/36859,,,0.3,,,
764,Jack Rodwell,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/57079,,,1.2,,,
765,Kieron Freeman,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/158703,,,1.2,,,
766,Michael Verrips,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/288259,,,0.8,,,
767,Josh Brownhill,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/293569,,,5.5,7,7,18
768,Jimmy Dunne,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/396174,,,0.2,0.6,,
769,Che Adams,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/346779,,,12,20,18,20
770,Moussa Djenepo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/485424,,,11,13,10,8
771,William Smallbone,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/444211,,,1,2,2,3.5
772,Kevin Danso,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/263236,,,6.3,,,
773,Nathan Tella,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/340322,,,,2,1.8,18
774,Dan Nlundulu,https://www.transfermarkt.com/x-xx/marktwertverlauf/spieler/346482,,,,1.5,1.2,0.9
775,Djibril Sidib??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/161869,,,9.5,,,
776,Moise Kean,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/364135,,,25,,,
777,Anthony Gordon,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503733,,,5,,20,38
778,Jarrad Branthwaite,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/661053,,,2,3,3,10
779,Jean-Philippe Gbamin,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/182894,,,22.5,15,,
780,Ellis Simms,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/511550,,,,,,4
781,Jo?úo Virg??nia,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/329813,,,0.15,1,,
782,Joelinton,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/333241,,,20,17,20,42
783,Allan Saint-Maximin,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/272642,,,28,30,32,32
784,Jetro Willems,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/146258,,,5.5,,,
785,Emil Krafth,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/184528,,,4,3.5,5,3
786,Nabil Bentaleb,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/245537,,,,,,
787,Matthew Longstaff,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/346707,,,17.5,15,13,25
788,Valentino Lazaro,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/186368,,,15,,,
789,Tyrick Mitchell,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/730893,,,,7,25,22
790,Stephen Henderson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/52191,,,0.4,0.3,,
791,Adam Webster,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/212847,,,12,18,17,25
792,Neal Maupay,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/217115,,,20,20,18,10
793,Leandro Trossard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/144028,,,13,17,20,35
794,Aaron Connolly,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/434207,,,4,7,6,
795,Steven Alzate,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/476237,,,2.3,6,5,
796,Alexis Mac Allister,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/534033,,,11,10,16,65
797,Tudor Béülu??éü,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/433976,,,,,1.8,
798,S??bastien Haller,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/181375,,,36,,,
799,Pablo Fornals,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/357885,,,16,18,22,22
800,Tom?≠è≠ Souéçek,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/283628,,,18,40,45,35
801,Jarrod Bowen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/314875,,,25,30,42,38
802,Jeremy Ngakia,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503795,,,0.25,3,3.5,2.2
803,David Martin,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/15930,,,0.25,0.25,0.25,
804,Darren Randolph,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/51321,,,2.8,1.5,0.8,0.4
805,Albian Ajeti,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/195906,,,4.8,,,
806,Jack Grealish,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/203460,,,40,65,70,75
807,Douglas Luiz,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/447661,,,22,35,38,40
808,John McGinn,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/193116,,,16,30,32,27
809,Anwar El Ghazi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/183720,,,8,13,9,
810,Ezri Konsa,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/413403,,,9,25,22,25
811,Frederic Guilbert,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/354352,,,7,,,
812,Wesley Moraes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/381362,,,24,13,6,
813,Tr??z??guet,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/234189,,,8,10,,
814,Marvelous Nakamba,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/324882,,,8,7,7,4
815,Conor Hourihane,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/61653,,,6,3.5,1.8,
816,Bj??rn Engels,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/193469,,,9.5,3,,
817,Pepe Reina,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/7825,,,0.65,,,
818,Neil Taylor,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/67416,,,2.8,1.5,,
819,Ahmed Elmohamady,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/66333,,,2,,,
820,Mbwana Samatta,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/182201,,,9.5,,,
821,??rjan Nyland,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/73517,,,1.2,1,,
822,Keinan Davis,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/412660,,,2.3,3,2.5,3
823,Henri Lansbury,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/44794,,,1.2,,0.8,0.3
824,Jed Steer,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/110867,,,1.2,0.8,0.6,0.5
825,Borja Bast??n,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/85324,,,3.2,,,
826,James Chester,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/73482,,,2.4,1.2,,
827,Lovre Kalinié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/46405,,,2.8,,,
828,Harry Wilson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/279455,,,17.5,17,17,16
829,Jack Stacey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/249356,,,3.2,2.8,3,2
830,Lloyd Kelly,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/480116,,,8,10,12,18
831,Arnaut Danjuma,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/355861,,,9.5,15,,25
832,Gavin Kilkenny,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/469064,,,,0.15,1.5,0.4
833,Ismaila Sarr,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/410225,,,24.5,22,27,20
834,Jo?úo Pedro,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/626724,,,15,10,14,32
835,Tom Dele-Bashiru,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/346472,,,0.45,0.7,,1.5
836,Max Aarons,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/471690,,,20,22,22,16
837,Teemu Pukki,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/46972,,,8,7,4,1.5
838,Kenny McLean,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/126600,,,3.5,3,2.5,1.2
839,Ben Godfrey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/343475,,,16,25,20,13
840,Todd Cantwell,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/332341,,,20,22,18,
841,Emi Buend??a,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/321247,,,20,22,18,9
842,Alexander Tettey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/12384,,,1.6,0.5,,
843,Jamal Lewis,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/346018,,,11,15,10,6
844,Christoph Zimmermann,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/77812,,,2.8,1.8,1,
845,Onel Hern?≠ndez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/109751,,,3.2,2,,1
846,Grant Hanley,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/121385,,,2,4,3.5,2
847,Marco Stiepermann,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/45760,,,3.2,1.5,,
848,Tom Trybull,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/93831,,,3.2,1.8,,
849,Ondrej Duda,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/232418,,,10.5,,,
850,Ibrahim Amadou,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/205503,,,5.5,,,
851,Lukas Rupp,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/82863,,,2.4,1.8,,
852,Moritz Leitner,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/82243,,,2.4,0.8,,
853,Timm Klose,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/65255,,,2,,,
854,Mario Vranéçié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/39372,,,2,1.5,,
855,Josip Drmié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/140579,,,1.6,,,
856,Adam Idah,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/434223,,,1.5,3,3,2
857,R?ßben Dias,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/258004,,,,75,75,80
858,Ferr?≠n Torres,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/398184,,,,50,45,
859,Zack Steffen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/221624,,,,6,6,3.5
860,Edinson Cavani,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/48280,,,,6,4,
861,Alex Telles,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/255755,,,,20,18,
862,Donny van de Beek,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/288255,,,,30,25,13
863,Amad Diallo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/536835,,,,18,15,18
864,Anthony Elanga,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/583189,,,,0.8,20,18
865,Thiago Alc?≠ntara,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/60444,,,,30,20,15
866,Ozan Kabak,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/361260,,,,25,13,
867,Rhys Williams,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503679,,,,5,4,2
868,Kostas Tsimikas,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/338070,,,,8,15,18
869,Edouard Mendy,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/442531,,,,25,32,12
870,Timo Werner,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/170527,,,,65,35,
871,Thiago Silva,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/29241,,,,3,2.5,2
872,Kai Havertz,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/309400,,,,70,70,55
873,Hakim Ziyech,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/217111,,,,38,28,16
874,Valentino Livramento,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503981,,,,5,25,25
875,Timothy Castagne,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/262226,,,,28,28,25
876,Wesley Fofana,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/475411,,,,40,40,55
877,Cengiz ??nder,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/341647,,,,18,,
878,Vladim??r Coufal,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/157672,,,,12,12,9
879,Sa??d Benrahma,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/290532,,,,22,25,25
880,Sergio Reguil??n,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/282429,,,,25,25,10
881,Gareth Bale,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/39381,,,,18,,
882,Carlos Vin??cius,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/525287,,,,18,,6
883,Gabriel Dos Santos,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/435338,,,,25,38,55
884,Thomas Partey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/230784,,,,40,38,35
885,Martin ??degaard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/316264,,,,40,45,80
886,R?ßnar Alex R?ßnarsson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/205657,,,,1.5,,
887,Stuart Dallas,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/158764,,,,4,4,1.5
888,Luke Ayling,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/67420,,,,5,4,1.8
889,Patrick Bamford,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/183334,,,,22,16,9
890,Illan Meslier,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/542586,,,,20,20,20
891,Jack Harrison,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/417346,,,,15,18,22
892,Ezgjan Alioski,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/129604,,,,5,,
893,Kalvin Phillips,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/351749,,,,40,50,32
894,Mateusz Klich,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/92738,,,,4,3,2
895,Raphinha,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/411295,,,,30,45,
896,Liam Cooper,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/75067,,,,7,7,3
897,Pascal Struijk,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/410708,,,,9,15,18
898,Tyler Roberts,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/296986,,,,6,8,3
899,Rodrigo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/131505,,,,18,12,6
900,Diego Llorente,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/246291,,,,20,18,12
901,Robin Koch,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/328784,,,,17,16,18
902,Jamie Shackleton,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/534700,,,,2.5,2.5,2
903,Pablo Hern?≠ndez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/46220,,,,0.8,,
904,Kiko Casilla,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/27486,,,,0.8,,
905,Gaetano Berardi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/43084,,,,0.3,,
906,Charlie Cresswell,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/597659,,,,0.2,3,5
907,Joe Gelhardt,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503980,,,,1.3,6,8
908,Sam Greenwood,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/532178,,,,0.2,2.5,5
909,Crysencio Summerville,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/474701,,,,,2,15
910,Allan,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/126422,,,,22,15,6
911,James Rodr??guez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/88103,,,,28,,
912,Robin Olsen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/75458,,,,3,2,1.5
913,Niels Nkounkou,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/591193,,,,3,,
914,Ollie Watkins,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/324358,,,,32,35,40
915,Bertrand Traor??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/131996,,,,20,16,12
916,Matty Cash,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/425334,,,,22,25,25
917,Jacob Ramsey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503749,,,,5,25,42
918,Morgan Sanson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/174094,,,,10,6,
919,Carney Chukwuemeka,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/659459,,,,1,6,15
920,Jaden Philogene Bidace,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/665390,,,,0.5,3,2.8
921,Kaine Kessler,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/626888,,,,0.25,0.3,
922,Elliot Anderson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/567576,,,,,1.5,8
923,N??lson Semedo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/231572,,,,28,22,15
924,Rayan A??t Nouri,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/578391,,,,18,20,22
925,Willian Jos??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/122155,,,,18,,
926,F?≠bio Silva,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/505653,,,,25,15,13
927,Fernando Mar??al,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/137745,,,,1.8,1.5,
928,Vitinha,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/487469,,,,7,,
929,Hugo Bueno,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/698678,,,,,,6
930,Eberechi Eze,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/479999,,,,20,22,40
931,Jean-Philippe Mateta,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/420002,,,,13,10,7
932,Jesuran Rak Sakyi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/586834,,,,,,1
933,Ibrahima Diallo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/413032,,,,15,10,
934,Mohammed Salisu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/563963,,,,10,18,18
935,Robert S?≠nchez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/403151,,,,8,16,22
936,Jo?Æl Veltman,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111195,,,,8,16,22
937,Jakub Moder,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/384461,,,,10,12,10
938,Andi Zeqiri,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/345468,,,,2.5,,
939,Mois??s Caicedo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/687626,,,,5,6,75
940,Michaè? Karbownik,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/401604,,,,5,,
941,Alphonse Areola,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/120629,,,,17,8,8
942,Ola Aina,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/236490,,,,6,,
943,Joachim Andersen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/260827,,,,22,25,30
944,Harrison Reed,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/226973,,,,10,10,18
945,Antonee Robinson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/349701,,,,7,8,15
946,Kenny Tete,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/206746,,,,5,4,15
947,Josh Maja,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/453824,,,,5,3,
948,Josh Onomah,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/243589,,,,6,3.5,1.5
949,Michael Hector,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/157490,,,,3.5,2,
950,Fabio Carvalho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/559263,,,,0.25,12,16
951,Marek Rod?≠k,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/186901,,,,6,5,3
952,Sam Johnstone,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/110864,,,,8,12,6
953,Semi Ajayi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/251912,,,,6,4,2.5
954,Matheus Pereira,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/225984,,,,15,,
955,Conor Gallagher,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/488362,,,,15,25,32
956,Conor Townsend,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/146509,,,,2,2.5,2
957,Dara O'Shea,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/401320,,,,3,3,5
958,Romaine Sawyers,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/113036,,,,2,1.2,
959,Okay Yokuè?lu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/137616,,,,7.5,,3
960,Mbaye Diagne,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/271966,,,,3,,
961,Filip Krovinovié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/261988,,,,3,,
962,Kamil Grosicki,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/37920,,,,1,,
963,Tim Iroegbunam,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/696589,,,,,2.5,5
964,C??dric Kipr??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/364827,,,,1,0.8,2.2
965,Jayden Bogle,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/465717,,,,7,5,3.8
966,Max Lowe,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/258885,,,,3,3,3
967,Iliman Ndiaye,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/623570,,,,0.2,1.5,18
968,Wes Foderingham,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/61697,,,,0.4,0.5,0.7
969,James Mcatee,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/583199,,,,,3,12
970,Samuel Edozie,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/680806,,,,,0.8,8
